name,position,age,club,market,club_value,AwayTeam,AwayGoals,AwayShotsOnTarget,HomeTeam,HomeGoals,HomeShotsOnTarget,FullTimeResult,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
,,,,,,Anderlecht,1.0,,Bergen,1.0,,D,7.0,12.0,7.0,12.0
,,,,,,Westerlo,1.0,,Cercle Brugge,3.0,,H,6.0,3.0,6.0,3.0
,,,,,,Gent,1.0,,Lierse,2.0,,H,6.0,6.0,6.0,6.0
,,,,,,Bergen,1.0,,Mechelen,4.0,,H,6.0,3.0,6.0,3.0
,,,,,,Lokeren,1.0,,Oud-Heverlee Leuven,1.0,,D,4.0,5.0,4.0,5.0
,,,,,,Kortrijk,0.0,,St Truiden,0.0,,D,5.0,3.0,5.0,3.0
,,,,,,Germinal,1.0,,Standard,6.0,,H,12.0,3.0,12.0,3.0
,,,,,,Club Brugge,0.0,,Anderlecht,3.0,,H,17.0,7.0,17.0,7.0
,,,,,,Genk,1.0,,Waregem,1.0,,D,9.0,7.0,9.0,7.0
,,,,,,St Truiden,1.0,,Genk,2.0,,H,8.0,3.0,8.0,3.0
,,,,,,Oud-Heverlee Leuven,2.0,,Bergen,2.0,,D,7.0,2.0,7.0,2.0
,,,,,,Mechelen,1.0,,Club Brugge,0.0,,A,21.0,5.0,21.0,5.0
,,,,,,Waregem,0.0,,Gent,0.0,,D,12.0,6.0,12.0,6.0
,,,,,,Cercle Brugge,0.0,,Germinal,4.0,,H,10.0,3.0,10.0,3.0
,,,,,,Anderlecht,1.0,,Kortrijk,0.0,,A,5.0,12.0,5.0,12.0
,,,,,,Lierse,0.0,,Lokeren,2.0,,H,7.0,3.0,7.0,3.0
,,,,,,Standard,0.0,,Westerlo,0.0,,D,5.0,6.0,5.0,6.0
,,,,,,Gent,1.0,,Anderlecht,3.0,,H,17.0,6.0,17.0,6.0
,,,,,,Lokeren,0.0,,Club Brugge,3.0,,H,21.0,5.0,21.0,5.0
,,,,,,Cercle Brugge,2.0,,Lierse,2.0,,D,6.0,3.0,6.0,3.0
,,,,,,Genk,2.0,,Mechelen,3.0,,H,6.0,7.0,6.0,7.0
,,,,,,Kortrijk,2.0,,Oud-Heverlee Leuven,0.0,,A,4.0,3.0,4.0,3.0
,,,,,,Westerlo,3.0,,St Truiden,0.0,,A,5.0,3.0,5.0,3.0
,,,,,,Germinal,0.0,,Waregem,1.0,,H,9.0,3.0,9.0,3.0
,,,,,,Bergen,1.0,,Standard,2.0,,H,12.0,3.0,12.0,3.0
,,,,,,Oud-Heverlee Leuven,0.0,,Genk,5.0,,H,8.0,2.0,8.0,2.0
,,,,,,St Truiden,0.0,,Gent,6.0,,H,12.0,3.0,12.0,3.0
,,,,,,Anderlecht,0.0,,Germinal,0.0,,D,10.0,12.0,10.0,12.0
,,,,,,Waregem,0.0,,Kortrijk,0.0,,D,5.0,6.0,5.0,6.0
,,,,,,Mechelen,2.0,,Lokeren,3.0,,H,7.0,5.0,7.0,5.0
,,,,,,Lierse,2.0,,Westerlo,0.0,,A,5.0,3.0,5.0,3.0
,,,,,,Club Brugge,2.0,,Bergen,0.0,,A,7.0,7.0,7.0,7.0
,,,,,,Standard,1.0,,Cercle Brugge,0.0,,A,6.0,6.0,6.0,6.0
,,,,,,Standard,2.0,,Lierse,0.0,,A,6.0,6.0,6.0,6.0
,,,,,,Bergen,1.0,,Lokeren,3.0,,H,7.0,3.0,7.0,3.0
,,,,,,Kortrijk,0.0,,Mechelen,0.0,,D,6.0,3.0,6.0,3.0
,,,,,,Gent,3.0,,Oud-Heverlee Leuven,2.0,,A,4.0,6.0,4.0,6.0
,,,,,,Cercle Brugge,1.0,,St Truiden,0.0,,A,5.0,3.0,5.0,3.0
,,,,,,Westerlo,1.0,,Waregem,3.0,,H,9.0,3.0,9.0,3.0
,,,,,,Genk,2.0,,Anderlecht,4.0,,H,17.0,7.0,17.0,7.0
,,,,,,Germinal,1.0,,Club Brugge,5.0,,H,21.0,3.0,21.0,3.0
,,,,,,Mechelen,0.0,,Cercle Brugge,1.0,,H,6.0,5.0,6.0,5.0
,,,,,,Lokeren,1.0,,Genk,0.0,,A,8.0,5.0,8.0,5.0
,,,,,,St Truiden,2.0,,Germinal,3.0,,H,10.0,3.0,10.0,3.0
,,,,,,Bergen,2.0,,Kortrijk,2.0,,D,5.0,3.0,5.0,3.0
,,,,,,Waregem,1.0,,Lierse,2.0,,H,6.0,6.0,6.0,6.0
,,,,,,Oud-Heverlee Leuven,3.0,,Westerlo,1.0,,A,5.0,2.0,5.0,2.0
,,,,,,Club Brugge,3.0,,Gent,1.0,,A,12.0,7.0,12.0,7.0
,,,,,,Anderlecht,2.0,,Standard,1.0,,A,12.0,12.0,12.0,12.0
,,,,,,Genk,2.0,,Bergen,1.0,,A,7.0,7.0,7.0,7.0
,,,,,,Gent,1.0,,Lokeren,1.0,,D,7.0,6.0,7.0,6.0
,,,,,,Germinal,1.0,,Mechelen,2.0,,H,6.0,3.0,6.0,3.0
,,,,,,Cercle Brugge,3.0,,Oud-Heverlee Leuven,2.0,,A,4.0,3.0,4.0,3.0
,,,,,,Lierse,1.0,,St Truiden,1.0,,D,5.0,3.0,5.0,3.0
,,,,,,Westerlo,1.0,,Anderlecht,3.0,,H,17.0,3.0,17.0,3.0
,,,,,,Kortrijk,1.0,,Club Brugge,2.0,,H,21.0,3.0,21.0,3.0
,,,,,,Standard,2.0,,Waregem,4.0,,H,9.0,6.0,9.0,6.0
,,,,,,Waregem,0.0,,Cercle Brugge,1.0,,H,6.0,6.0,6.0,6.0
,,,,,,Bergen,0.0,,Gent,2.0,,H,12.0,3.0,12.0,3.0
,,,,,,Oud-Heverlee Leuven,1.0,,Germinal,2.0,,H,10.0,2.0,10.0,2.0
,,,,,,Lokeren,5.0,,Kortrijk,2.0,,A,5.0,5.0,5.0,5.0
,,,,,,Mechelen,3.0,,Westerlo,1.0,,A,5.0,5.0,5.0,5.0
,,,,,,Club Brugge,0.0,,Genk,3.0,,H,8.0,7.0,8.0,7.0
,,,,,,Anderlecht,0.0,,Lierse,0.0,,D,6.0,12.0,6.0,12.0
,,,,,,St Truiden,0.0,,Standard,0.0,,D,12.0,3.0,12.0,3.0
,,,,,,Germinal,2.0,,Bergen,4.0,,H,7.0,3.0,7.0,3.0
,,,,,,Genk,2.0,,Kortrijk,3.0,,H,5.0,7.0,5.0,7.0
,,,,,,Westerlo,0.0,,Lokeren,4.0,,H,7.0,3.0,7.0,3.0
,,,,,,Gent,2.0,,Mechelen,0.0,,A,6.0,6.0,6.0,6.0
,,,,,,Lierse,0.0,,Oud-Heverlee Leuven,0.0,,D,4.0,3.0,4.0,3.0
,,,,,,Waregem,0.0,,St Truiden,1.0,,H,5.0,6.0,5.0,6.0
,,,,,,Cercle Brugge,0.0,,Anderlecht,4.0,,H,17.0,3.0,17.0,3.0
,,,,,,Standard,0.0,,Club Brugge,1.0,,H,21.0,6.0,21.0,6.0
,,,,,,Club Brugge,2.0,,Cercle Brugge,1.0,,A,6.0,7.0,6.0,7.0
,,,,,,Kortrijk,1.0,,Gent,3.0,,H,12.0,3.0,12.0,3.0
,,,,,,Lokeren,2.0,,Germinal,2.0,,D,10.0,5.0,10.0,5.0
,,,,,,Bergen,1.0,,Lierse,1.0,,D,6.0,3.0,6.0,3.0
,,,,,,Anderlecht,2.0,,St Truiden,2.0,,D,5.0,12.0,5.0,12.0
,,,,,,Oud-Heverlee Leuven,0.0,,Standard,4.0,,H,12.0,2.0,12.0,2.0
,,,,,,Mechelen,0.0,,Waregem,2.0,,H,9.0,5.0,9.0,5.0
,,,,,,Genk,2.0,,Westerlo,3.0,,H,5.0,7.0,5.0,7.0
,,,,,,Waregem,1.0,,Anderlecht,2.0,,H,17.0,6.0,17.0,6.0
,,,,,,Westerlo,1.0,,Bergen,2.0,,H,7.0,3.0,7.0,3.0
,,,,,,Lierse,0.0,,Club Brugge,1.0,,H,21.0,3.0,21.0,3.0
,,,,,,Gent,1.0,,Genk,3.0,,H,8.0,6.0,8.0,6.0
,,,,,,Germinal,0.0,,Kortrijk,2.0,,H,5.0,3.0,5.0,3.0
,,,,,,Cercle Brugge,0.0,,Lokeren,1.0,,H,7.0,3.0,7.0,3.0
,,,,,,Standard,2.0,,Mechelen,1.0,,A,6.0,6.0,6.0,6.0
,,,,,,St Truiden,1.0,,Oud-Heverlee Leuven,3.0,,H,4.0,3.0,4.0,3.0
,,,,,,Charleroi,0.0,,Club Brugge,2.0,,H,21.0,4.0,21.0,4.0
,,,,,,Cercle Brugge,1.0,,Bergen,1.0,,D,7.0,3.0,7.0,3.0
,,,,,,Oostende,0.0,,Genk,3.0,,H,8.0,3.0,8.0,3.0
,,,,,,Oud-Heverlee Leuven,0.0,,Kortrijk,1.0,,H,5.0,2.0,5.0,2.0
,,,,,,Waregem,2.0,,Lierse,1.0,,A,6.0,6.0,6.0,6.0
,,,,,,Gent,1.0,,Waasland-Beveren,1.0,,D,3.0,6.0,3.0,6.0
,,,,,,Lokeren,3.0,,Anderlecht,2.0,,A,17.0,5.0,17.0,5.0
,,,,,,Standard,2.0,,Mechelen,0.0,,A,6.0,6.0,6.0,6.0
,,,,,,Anderlecht,4.0,,Cercle Brugge,0.0,,A,6.0,12.0,6.0,12.0
,,,,,,Waasland-Beveren,1.0,,Charleroi,1.0,,D,9.0,3.0,9.0,3.0
,,,,,,Bergen,1.0,,Lokeren,2.0,,H,7.0,3.0,7.0,3.0
,,,,,,Genk,4.0,,Oud-Heverlee Leuven,1.0,,A,4.0,7.0,4.0,7.0
,,,,,,Kortrijk,0.0,,Waregem,1.0,,H,9.0,3.0,9.0,3.0
,,,,,,Mechelen,1.0,,Gent,2.0,,H,12.0,5.0,12.0,5.0
,,,,,,Club Brugge,2.0,,Oostende,1.0,,A,5.0,7.0,5.0,7.0
,,,,,,Lierse,0.0,,Standard,3.0,,H,12.0,3.0,12.0,3.0
,,,,,,Lokeren,3.0,,Kortrijk,3.0,,D,5.0,5.0,5.0,5.0
,,,,,,Charleroi,2.0,,Bergen,1.0,,A,7.0,4.0,7.0,4.0
,,,,,,Cercle Brugge,1.0,,Lierse,1.0,,D,6.0,3.0,6.0,3.0
,,,,,,Oud-Heverlee Leuven,1.0,,Oostende,1.0,,D,5.0,2.0,5.0,2.0
,,,,,,Mechelen,0.0,,Waasland-Beveren,0.0,,D,3.0,5.0,3.0,5.0
,,,,,,Gent,1.0,,Anderlecht,4.0,,H,17.0,6.0,17.0,6.0
,,,,,,Waregem,1.0,,Club Brugge,1.0,,D,21.0,6.0,21.0,6.0
,,,,,,Standard,2.0,,Genk,0.0,,A,8.0,6.0,8.0,6.0
,,,,,,Oostende,0.0,,Cercle Brugge,2.0,,H,6.0,3.0,6.0,3.0
,,,,,,Kortrijk,2.0,,Charleroi,1.0,,A,9.0,3.0,9.0,3.0
,,,,,,Lierse,1.0,,Gent,2.0,,H,12.0,3.0,12.0,3.0
,,,,,,Genk,1.0,,Lokeren,3.0,,H,7.0,7.0,7.0,7.0
,,,,,,Club Brugge,2.0,,Mechelen,1.0,,A,6.0,7.0,6.0,7.0
,,,,,,Bergen,0.0,,Waregem,2.0,,H,9.0,3.0,9.0,3.0
,,,,,,Oud-Heverlee Leuven,0.0,,Standard,1.0,,H,12.0,2.0,12.0,2.0
,,,,,,Anderlecht,3.0,,Waasland-Beveren,0.0,,A,3.0,12.0,3.0,12.0
,,,,,,Mechelen,2.0,,Kortrijk,1.0,,A,5.0,5.0,5.0,5.0
,,,,,,Waasland-Beveren,0.0,,Lierse,1.0,,H,6.0,3.0,6.0,3.0
,,,,,,Lokeren,1.0,,Oud-Heverlee Leuven,2.0,,H,4.0,5.0,4.0,5.0
,,,,,,Charleroi,2.0,,Anderlecht,5.0,,H,17.0,4.0,17.0,4.0
,,,,,,Standard,2.0,,Bergen,0.0,,A,7.0,6.0,7.0,6.0
,,,,,,Gent,1.0,,Club Brugge,1.0,,D,21.0,6.0,21.0,6.0
,,,,,,Cercle Brugge,0.0,,Genk,1.0,,H,8.0,3.0,8.0,3.0
,,,,,,Waregem,1.0,,Oostende,1.0,,D,5.0,6.0,5.0,6.0
,,,,,,Oud-Heverlee Leuven,1.0,,Cercle Brugge,1.0,,D,6.0,2.0,6.0,2.0
,,,,,,Bergen,0.0,,Gent,1.0,,H,12.0,3.0,12.0,3.0
,,,,,,Oostende,0.0,,Lokeren,1.0,,H,7.0,3.0,7.0,3.0
,,,,,,Lierse,0.0,,Mechelen,0.0,,D,6.0,3.0,6.0,3.0
,,,,,,Genk,1.0,,Charleroi,1.0,,D,9.0,7.0,9.0,7.0
,,,,,,Kortrijk,0.0,,Standard,2.0,,H,12.0,3.0,12.0,3.0
,,,,,,Club Brugge,2.0,,Waasland-Beveren,1.0,,A,3.0,7.0,3.0,7.0
,,,,,,Anderlecht,3.0,,Waregem,4.0,,H,9.0,12.0,9.0,12.0
,,,,,,Mechelen,0.0,,Anderlecht,5.0,,H,17.0,5.0,17.0,5.0
,,,,,,Waasland-Beveren,1.0,,Bergen,1.0,,D,7.0,3.0,7.0,3.0
,,,,,,Lierse,1.0,,Club Brugge,4.0,,H,21.0,3.0,21.0,3.0
,,,,,,Gent,0.0,,Kortrijk,3.0,,H,5.0,6.0,5.0,6.0
,,,,,,Cercle Brugge,0.0,,Lokeren,3.0,,H,7.0,3.0,7.0,3.0
,,,,,,Charleroi,0.0,,Oud-Heverlee Leuven,0.0,,D,4.0,4.0,4.0,4.0
,,,,,,Waregem,2.0,,Genk,5.0,,H,8.0,6.0,8.0,6.0
,,,,,,Standard,4.0,,Oostende,2.0,,A,5.0,6.0,5.0,6.0
,,,,,,Cercle Brugge,0.0,,Charleroi,2.0,,H,9.0,3.0,9.0,3.0
,,,,,,Oostende,1.0,,Gent,1.0,,D,12.0,3.0,12.0,3.0
,,,,,,Kortrijk,0.0,,Lierse,2.0,,H,6.0,3.0,6.0,3.0
,,,,,,Bergen,2.0,,Mechelen,4.0,,H,6.0,3.0,6.0,3.0
,,,,,,Anderlecht,0.0,,Club Brugge,4.0,,H,21.0,12.0,21.0,12.0
,,,,,,Lokeren,1.0,,Standard,2.0,,H,12.0,5.0,12.0,5.0
,,,,,,Genk,0.0,,Waasland-Beveren,0.0,,D,3.0,7.0,3.0,7.0
,,,,,,Oud-Heverlee Leuven,2.0,,Waregem,4.0,,H,9.0,2.0,9.0,2.0
,,,,,,Club Brugge,1.0,,Bergen,0.0,,A,7.0,7.0,7.0,7.0
,,,,,,Mechelen,0.0,,Genk,1.0,,H,8.0,5.0,8.0,5.0
,,,,,,Waasland-Beveren,1.0,,Kortrijk,2.0,,H,5.0,3.0,5.0,3.0
,,,,,,Waregem,4.0,,Lokeren,2.0,,A,7.0,6.0,7.0,6.0
,,,,,,Charleroi,0.0,,Oostende,1.0,,H,5.0,4.0,5.0,4.0
,,,,,,Gent,1.0,,Oud-Heverlee Leuven,1.0,,D,4.0,6.0,4.0,6.0
,,,,,,Lierse,0.0,,Anderlecht,2.0,,H,17.0,3.0,17.0,3.0
,,,,,,Standard,5.0,,Cercle Brugge,0.0,,A,6.0,6.0,6.0,6.0
,,,,,,Lokeren,1.0,,Charleroi,2.0,,H,9.0,5.0,9.0,5.0
,,,,,,Oud-Heverlee Leuven,0.0,,Club Brugge,1.0,,H,21.0,2.0,21.0,2.0
,,,,,,Bergen,1.0,,Lierse,2.0,,H,6.0,3.0,6.0,3.0
,,,,,,Cercle Brugge,2.0,,Mechelen,1.0,,A,6.0,3.0,6.0,3.0
,,,,,,Oostende,0.0,,Waasland-Beveren,2.0,,H,3.0,3.0,3.0,3.0
,,,,,,Kortrijk,1.0,,Anderlecht,0.0,,A,17.0,3.0,17.0,3.0
,,,,,,Genk,2.0,,Gent,1.0,,A,12.0,7.0,12.0,7.0
,,,,,,Standard,0.0,,Waregem,1.0,,H,9.0,6.0,9.0,6.0
,,,,,,Anderlecht,2.0,,Bergen,0.0,,A,7.0,12.0,7.0,12.0
,,,,,,Waregem,1.0,,Cercle Brugge,1.0,,D,6.0,6.0,6.0,6.0
,,,,,,Lierse,0.0,,Genk,4.0,,H,8.0,3.0,8.0,3.0
,,,,,,Gent,2.0,,Lokeren,2.0,,D,7.0,6.0,7.0,6.0
,,,,,,Mechelen,3.0,,Oostende,0.0,,A,5.0,5.0,5.0,5.0
,,,,,,Waasland-Beveren,2.0,,Oud-Heverlee Leuven,4.0,,H,4.0,3.0,4.0,3.0
,,,,,,Club Brugge,1.0,,Kortrijk,4.0,,H,5.0,7.0,5.0,7.0
,,,,,,Charleroi,2.0,,Standard,2.0,,D,12.0,4.0,12.0,4.0
,,,,,,Cercle Brugge,1.0,,Gent,1.0,,D,12.0,3.0,12.0,3.0
,,,,,,Kortrijk,1.0,,Bergen,0.0,,A,7.0,3.0,7.0,3.0
,,,,,,Oostende,2.0,,Lierse,0.0,,A,6.0,3.0,6.0,3.0
,,,,,,Oud-Heverlee Leuven,2.0,,Mechelen,4.0,,H,6.0,2.0,6.0,2.0
,,,,,,Lokeren,2.0,,Waasland-Beveren,0.0,,A,3.0,5.0,3.0,5.0
,,,,,,Standard,1.0,,Anderlecht,1.0,,D,17.0,6.0,17.0,6.0
,,,,,,Genk,2.0,,Club Brugge,0.0,,A,21.0,7.0,21.0,7.0
,,,,,,Charleroi,1.0,,Waregem,1.0,,D,9.0,4.0,9.0,4.0
,,,,,,Mechelen,2.0,,Charleroi,2.0,,D,9.0,5.0,9.0,5.0
,,,,,,Kortrijk,0.0,,Genk,1.0,,H,8.0,3.0,8.0,3.0
,,,,,,Lierse,0.0,,Lokeren,1.0,,H,7.0,3.0,7.0,3.0
,,,,,,Anderlecht,3.0,,Oostende,0.0,,A,5.0,12.0,5.0,12.0
,,,,,,Bergen,2.0,,Oud-Heverlee Leuven,2.0,,D,4.0,3.0,4.0,3.0
,,,,,,Gent,2.0,,Waregem,3.0,,H,9.0,6.0,9.0,6.0
,,,,,,Club Brugge,0.0,,Cercle Brugge,2.0,,H,6.0,7.0,6.0,7.0
,,,,,,Waasland-Beveren,2.0,,Standard,2.0,,D,12.0,3.0,12.0,3.0
,,,,,,Oud-Heverlee Leuven,1.0,,Anderlecht,3.0,,H,17.0,2.0,17.0,2.0
,,,,,,Genk,3.0,,Bergen,2.0,,A,7.0,7.0,7.0,7.0
,,,,,,Oostende,0.0,,Kortrijk,2.0,,H,5.0,3.0,5.0,3.0
,,,,,,Charleroi,1.0,,Lierse,2.0,,H,6.0,4.0,6.0,4.0
,,,,,,Waregem,2.0,,Mechelen,2.0,,D,6.0,6.0,6.0,6.0
,,,,,,Lokeren,0.0,,Club Brugge,1.0,,H,21.0,5.0,21.0,5.0
,,,,,,Standard,1.0,,Gent,0.0,,A,12.0,6.0,12.0,6.0
,,,,,,Cercle Brugge,1.0,,Waasland-Beveren,0.0,,A,3.0,3.0,3.0,3.0
,,,,,,Mechelen,0.0,,Lokeren,4.0,,H,7.0,5.0,7.0,5.0
,,,,,,Kortrijk,1.0,,Cercle Brugge,3.0,,H,6.0,3.0,6.0,3.0
,,,,,,Gent,1.0,,Charleroi,0.0,,A,9.0,6.0,9.0,6.0
,,,,,,Bergen,0.0,,Oostende,2.0,,H,5.0,3.0,5.0,3.0
,,,,,,Lierse,0.0,,Oud-Heverlee Leuven,2.0,,H,4.0,3.0,4.0,3.0
,,,,,,Anderlecht,1.0,,Genk,0.0,,A,8.0,12.0,8.0,12.0
,,,,,,Club Brugge,0.0,,Standard,0.0,,D,12.0,7.0,12.0,7.0
,,,,,,Waasland-Beveren,0.0,,Waregem,2.0,,H,9.0,3.0,9.0,3.0
,,,,,,Lierse,4.0,,Cercle Brugge,2.0,,A,6.0,3.0,6.0,3.0
,,,,,,Anderlecht,1.0,,Charleroi,2.0,,H,9.0,12.0,9.0,12.0
,,,,,,Waasland-Beveren,0.0,,Gent,2.0,,H,12.0,3.0,12.0,3.0
,,,,,,Genk,0.0,,Oostende,4.0,,H,5.0,7.0,5.0,7.0
,,,,,,Kortrijk,1.0,,Oud-Heverlee Leuven,1.0,,D,4.0,3.0,4.0,3.0
,,,,,,Mechelen,1.0,,Waregem,3.0,,H,9.0,5.0,9.0,5.0
,,,,,,Club Brugge,3.0,,Lokeren,0.0,,A,7.0,7.0,7.0,7.0
,,,,,,Bergen,0.0,,Standard,1.0,,H,12.0,3.0,12.0,3.0
,,,,,,Lokeren,0.0,,Bergen,1.0,,H,7.0,5.0,7.0,5.0
,,,,,,Oostende,0.0,,Club Brugge,2.0,,H,21.0,3.0,21.0,3.0
,,,,,,Gent,1.0,,Mechelen,0.0,,A,6.0,6.0,6.0,6.0
,,,,,,Charleroi,0.0,,Waasland-Beveren,0.0,,D,3.0,4.0,3.0,4.0
,,,,,,Cercle Brugge,1.0,,Anderlecht,2.0,,H,17.0,3.0,17.0,3.0
,,,,,,Oud-Heverlee Leuven,0.0,,Genk,3.0,,H,8.0,2.0,8.0,2.0
,,,,,,Waregem,1.0,,Kortrijk,1.0,,D,5.0,6.0,5.0,6.0
,,,,,,Standard,5.0,,Lierse,0.0,,A,6.0,6.0,6.0,6.0
,,,,,,Waasland-Beveren,0.0,,Anderlecht,2.0,,H,17.0,3.0,17.0,3.0
,,,,,,Waregem,1.0,,Bergen,1.0,,D,7.0,6.0,7.0,6.0
,,,,,,Mechelen,0.0,,Club Brugge,3.0,,H,21.0,5.0,21.0,5.0
